# 노부나가의 야망 (GBA) 한글패치 — 번역 대조표

자동 독음 변환 4391건 / 번역 1035건 + 시퀀스 187그룹

## 1. 자동 독음 변환 (인명·지명·성 등)
一万田	일만전
下野の戦国大名。政資の嫡男。父と対立し、父と結ぶ宇都宮尚綱に攻められるが尚綱を討って撃退した。のち尚綱の子・広綱と芳賀高定の謀略に遭い横死した。	→	하야의 전국 다이묘. 정자의 적남. 아버지와 대립했고, 아버지와 손잡은 우도궁상강의 공격을 받았으나 상강을 토벌하여 격퇴했다. 훗날 상강의 아들 광강과 방하고정의 모략에 걸려 횡사했다.
下野国御前原の城主。孝綱の子。領土拡大を画策し、宇都宮家の武力を背景に弟と争い、居城を奪う。後に小田原征伐の際に、秀吉に従わず領地を没収された。	→	하야국 어전원의 성주。효강의 아들。영토 확대를 획책하여、우도궁가의 무력을 등에 업고 아우와 다투어、거성을 빼앗았다。훗날 소전원 정벌 때、수길을 따르지 않아 영지를 몰수당했다。
与え	→	하사
丹後の戦国大名。甥・義定が細川藤孝に謀殺された後、丹後弓木城に入って一色家を継ぐ。しかし、細川忠興に城を包囲されたため、敵陣に突入して戦死した。	→	단후의 전국다이묘. 조카 의정이 세천등효에게 모살당한 후, 단후 궁목성에 들어가 일색가를 계승했다. 그러나 세천충흥에게 성이 포위당하자 적진에 돌입하여 전사했다.
丹後の戦国大名。義幸の子。京を追われた将軍・足利義昭を庇護したため、織田軍に攻められる。善戦するが、家臣・沼田勘解由の内通により敗れ、自害した。	→	단후의 전국다이묘이다。의행의 아들이다。경에서 쫓겨난 장군 족리의소를 비호했기 때문에、직전군에게 공격받았다。선전했으나、가신 소전감해유의 내통으로 패하여 자결했다。
丹後の戦国大名。義道の子。父の死後、家臣・稲富祐直を頼り、細川藤孝軍と戦う。のち明智光秀の斡旋で和睦し藤孝の娘を娶るが、再び背いたため殺された。	→	단후의 전국다이묘이다。의도의 아들이다。아버지 사후、가신 도부우직에게 의지해 세천등효군과 싸웠다。훗날 명지광수의 알선으로 화친하고 등효의 딸을 아내로 맞았으나、다시 배신하여 살해되었다。
丹後の戦国大名。隣国の若狭武田家としばしば戦った。一色家は清和源氏足利家一門で、山名・赤松・京極家とともに四職の家格となり、幕府で重きをなした。	→	단후의 전국다이묘. 인접국 약협 무전가와 자주 싸웠다. 일색가는 청화원씨 족리가 일문으로, 산명, 적송, 경극가와 더불어 사직 가문의 지위를 얻어 막부에서 중요한 위치를 차지했다.
丹波の豪族。八上城主。晴通の子。居城を三好家から奪還し、勢力を拡大した。明智光秀の攻撃を受け、籠城して戦うが降伏、安土に送られ磔刑に処せられた。	→	단파의 호족이다。팔상성주다。청통의 아들이다。거성을 삼호가로부터 탈환해 세력을 확대했다。명지광수의 공격을 받아 농성하며 싸웠으나 항복、안토로 보내져 책형에 처해졌다。
丹波の豪族。時家の次男。兄・家清の戦死後、若年の甥・忠家を後見した。明智光秀の丹波平定軍を撃退するなど武勇にすぐれ「丹波の赤鬼」の異名をとった。	→	단파의 호족. 시가의 차남. 형 가청의 전사 후, 어린 조카 충가를 후견했다. 명지광수의 단파 평정군을 격퇴하는 등 무용이 뛰어나 「단파의 적귀」라는 이명을 얻었다.
主家・細川家の内紛に乗じ、丹波の支配を固めた。晴元と三好長慶の抗争では細川方につく。居城・八上城に篭もって防戦したが、三好方の松永久秀に降った。	→	주가인 세천가의 내분을 틈타 단파의 지배를 굳혔다. 청원과 삼호장경의 항쟁에서는 세천측에 붙었다. 거성인 팔상성에 틀어박혀 방전했으나, 삼호측의 송영구수에게 항복했다.
二階堂盛義の子。盛興の後室を娶って{G03}名家１８代当主となる。上杉・武田・北条家と結んで佐竹家と争う。寵の衰えを逆恨みした側近に黒川城内で殺された。	→	이계당성의의 아들. 성흥의 후실을 아내로 맞아 {G03}명가 １８대 당주가 되었다. 상삼, 무전, 북조가와 손을 잡고 좌죽가와 싸웠다. 총애가 식은 것에 앙심을 품은 측근에게 흑천성 안에서 살해당했다.
交戦国です	→	교전국입니다
京を目指せ	→	경을 향하라
今井宗久殿との友好度	→	금정종구 님과의 우호도
今井宗久殿を招待しますか？(金%4d)	→	금정종구 님을 초대하시겠습니까?(금%4d)
今井殿がまだ残っておいでです	→	금정 님이 아직 남아 계시옵니다
今川家は	→	금천가는
今川家臣。主家滅亡後は武田家に仕え、清水城主となる。駿河先方衆として三方ヶ原合戦などに従軍した。武田家滅亡後は徳川家に仕え、甲斐平定に貢献した。	→	금천 가신。주가 멸망 후에는 무전가를 섬기며、청수성주가 되었다。준하 선방중으로서 삼방원합전 등에 종군했다。무전가 멸망 후에는 덕천가를 섬기며、갑비 평정에 공헌했다。
今川家臣。小豆坂合戦などで戦功を立てる。主家滅亡後は武田信玄に仕えて駿河先方衆となった。徳川家の駿河侵攻軍に敗れ、織田信長の命で自害した。	→	금천 가신. 소두판합전 등에서 전공을 세웠다. 주가 멸망 후에는 무전신현을 섬겨 준하 선방중이 되었다. 덕천가의 준하 침공군에게 패하고, 직전신장의 명으로 자해했다.
今川家臣。掛川城主を務める。１５４８年の小豆坂合戦において、太原雪斎を補佐して織田信秀の軍を破るなど、今川家の西方侵攻軍の先鋒として活躍した。	→	금천가 가신. 괘천성주를 지냈다. １５４８년 소두판 합전에서 태원설재를 보좌하여 직전신수의 군을 격파하는 등, 금천가의 서방 침공군 선봉으로 활약했다.
今川家臣。曳馬城主。桶狭間の合戦後、徳川家に寝返ったため、主君・氏真の攻撃を受け敗北、和睦した。のちに氏真に駿府城に呼ばれ、同地で謀殺された。	→	금천 가신. 예마성주. 통협간 합전 후 덕천가로 돌아섰기 때문에 주군 씨진의 공격을 받아 패배했으나 화해했다. 훗날 씨진에게 준부성으로 소환되어 그곳에서 모살당했다.
今川家臣。桶狭間の合戦では主君・義元の首級を駿河に持ち帰った。主家滅亡後は武田家に仕え、高天神城主となるが、徳川家康の攻撃を受け落城、戦死した。	→	금천 가신. 통협간 합전에서 주군 의원의 수급을 준하로 가져갔다. 주가 멸망 후에는 무전가를 섬겨 고천신성주가 되었으나, 덕천가강의 공격을 받아 성이 함락되어 전사했다.
今川家臣。桶狭間の合戦後、次々と主家から離反する家臣の中にあって、最後まで今川方に残った。その後、三河平定を目指す徳川家康の攻撃を受け敗死した。	→	금천가 가신. 통협간 합전 이후 잇달아 주가를 등지는 가신들 속에서도 끝까지 금천 편에 남았다. 그 후 삼하 평정을 노리는 덕천가강의 공격을 받아 패사했다.
今川家臣。泰能の子。駿河を追われた主君・氏真を居城・掛川城に迎え入れ、徳川軍と戦う。５カ月の籠城戦の末に開城し、氏真とともに駿河に落ち延びた。	→	금천 가신. 태능의 아들. 준하에서 쫓겨난 주군 씨진을 거성인 괘천성으로 맞아들여 덕천군과 싸웠다. 5개월간의 농성전 끝에 개성하고 씨진과 함께 준하로 도망쳤다.
今川家臣。犬居城主。田原本宿の合戦で功を立てた。主家滅亡後は武田家に仕え徳川家と戦う。武田家滅亡後は北条家に属し、佐竹家との戦いで功を立てた。	→	금천 가신. 견거성주. 전원본숙 합전에서 공을 세웠다. 주가 멸망 후에는 무전가를 섬기며 덕천가와 싸웠다. 무전가 멸망 후에는 북조가에 속해 좌죽가와의 싸움에서 공을 세웠다.
今川家臣。葛山城主。家臣屋敷分の年貢減免や領内社寺の保護など、自領内に独自の政策を施した。主家滅亡後は没落し武田信玄の六男・氏貞が跡を継いだ。	→	금천 가신. 갈산성주. 가신 저택분의 연공 감면과 영내 사찰 보호 등 자기 영내에 독자적인 정책을 시행했다. 주가 멸망 후에는 몰락했고, 무전신현의 6남 씨정이 뒤를 이었다.
今川家臣。駿河川入城主。今川義元の上洛に同行するが、桶狭間で織田信長の奇襲を受け、絶命した。	→	금천 가신. 준하 천입성주. 금천의원의 상경에 동행했으나 통협간에서 직전신장의 기습을 받아 절명했다.
今川家臣。１５２９年、兄・信薫の死により、家督を継いで遠江二俣城主となった。氏真から代官職を与えられ、二俣の知行を安堵されている。	→	금천 가신. １５２９년, 형 신훈의 죽음으로 가독을 이어받아 원강 이우성주가 되었다. 씨진으로부터 대관직을 받았고, 이우의 지행을 안도받았다.
今川家９代当主。異母兄・玄広恵探を倒し、家督を継ぐ。甲相駿三国同盟を結んで後顧の憂いを断ち、上洛の途につくが桶狭間で織田信長の奇襲を受け、絶命。	→	금천가 ９대 당주. 이복형 현광혜탐을 물리치고 가독을 이었다. 갑상준 삼국동맹을 맺어 후고의 근심을 끊고 상락길에 올랐으나 통협간에서 직전신장의 기습을 받아 절명했다.
今川義元の人質として幼少期を過ごす。義元の死後に独立し、徳川家康を名乗った。信長との同盟で力を蓄え、ついには征夷大将軍となって江戸幕府を開く。	→	금천의원의 인질로 유소년기를 보냈다. 의원 사후 독립하여 덕천가강이라 칭했다. 신장과의 동맹으로 힘을 길렀고, 마침내 정이대장군이 되어 강호막부를 열었다.
今川義元の養育係で、義元の家督相続にも一役買う。僧籍にありながら軍師を務める。武田・北条との三国同盟を成立に導くなど、外交にも手腕を発揮した。	→	금천의원의 양육을 맡아, 의원의 가독 상속에도 일조했다. 승적에 있으면서 군사를 맡았다. 무전, 북조와의 삼국동맹 성립을 이끄는 등, 외교에서도 수완을 발휘했다.
今年の収穫減は必至です	→	올해 수확 감소는 불가피합니다
今年は全国的な凶作に見舞われています	→	올해는 전국적인 흉작에 시달리고 있습니다
今年は各地で豊作の秋を迎えています	→	올해는 각지에서 풍작의 가을을 맞이하고 있습니다
今後、%s%s%sが跡を継ぎます	→	앞으로 %s%s%s가 대를 잇습니다
今後、近江は安土城マップに切り替わります	→	앞으로 근강은 안토성 맵으로 전환됩니다
今後ともごひいきに	→	앞으로도 잘 부탁드리옵니다
今月の命令を終了します	→	이번 달 명령을 종료합니다
他の大名	→	다른 다이묘
他の大名の国です	→	다른 다이묘의 나라입니다
伊丹城主。織田信長の畿内侵攻に最後まで抵抗して降伏。後、池田勝正・和田惟政らとともに「摂津三守護」と称され、信長の配下として働いた。	→	이단성주. 직전신장의 기내 침공에 끝까지 저항하다 항복했다. 그 후 지전승정、화전유정 등과 함께 「섭진삼수호」라 불리며 신장의 휘하에서 일했다.
伊予の戦国大名。湯築城主。兄・晴通が早世したため、家督を継いだ。大野家などの家臣の謀叛や、毛利家など他国からの侵攻が相次ぎ、その対応に苦慮した。	→	이여의 전국 다이묘. 탕축성주. 형 청통이 요절했기 때문에 가독을 이었다. 대야가 등 가신의 모반과 모리가 등 타국으로부터의 침공이 잇따라 그 대응에 고심했다.
伊予の戦国大名。湯築城主。庶流・池原河野家の出身。長宗我部元親に敗れて家臣となり、豊臣秀吉の四国征伐軍と戦い敗北。改易されたため安芸に移住した。	→	이여의 전국 다이묘. 탕축성주. 서류 지원하야가 출신. 장종아부원친에게 패하여 가신이 되었고, 풍신수길의 사국정벌군과 싸워 패배했다. 개역되어 안예로 이주했다.
伊勢の豪族。亀山城主。織田信長の伊勢侵攻軍に降る。本能寺の変後は豊臣秀吉に従った。のちに蒲生氏郷の与力となり氏郷の会津転封に従って会津に移った。	→	이세의 호족. 귀산성주. 직전신장의 이세 침공군에 항복했다. 본능사의 변 후에는 풍신수길을 따랐다. 이후 포생씨향의 여력이 되어 씨향의 회진 전봉을 따라 회진으로 옮겼다.
伊勢国司・北畠家８代当主。晴具の子。居城・大河内城に籠城し、織田信長軍と戦うが、信長の次男・信雄を養子とし、和睦した。のちに信雄に謀殺された。	→	이세 국사·북전가 ８대 당주다. 청구의 아들이다. 거성 대하내성에 농성하며 직전신장군과 싸웠으나, 신장의 차남 신웅을 양자로 삼아 화의했다. 훗날 신웅에게 모살당했다.
伊勢国司・北畠家９代当主。具教の子。父が織田信雄に殺された後、滝川一益に預けられ、安濃郡河内に３年間幽閉される。解放された後、間もなく病死した。	→	이세 국사、북전 가문 ９대 당주。구교의 아들。아버지가 직전신웅에게 살해된 후、농천일익에게 맡겨져 안농군 하내에서 ３년간 유폐되었다。해방된 후 얼마 지나지 않아 병사했다。
伊勢神戸城主。織田信長に降り、信長の三男・信孝を養子とする。近江日野城に幽閉されるが、信孝が四国征伐へ出陣すると、許されて留守居役を務めた。	→	이세 신호성주. 직전신장에게 항복하여 신장의 삼남 신효를 양자로 삼았다. 근강 일야성에 유폐되었으나, 신효가 사국 정벌에 출진하자 사면되어 유수거역을 맡았다.
伊東家臣。主家の滅亡後は大友家臣・佐伯惟定のもとへ身を寄せる。島津家が豊後に侵攻し始めると、豊後栂牟礼城で抗戦準備をし、合戦を総指揮した。	→	이동 가신。주가 멸망 후에는 대우 가신 좌백유정에게 몸을 의탁했다。도진가가 풍후에 침공하기 시작하자、풍후 모모례성에서 항전 준비를 하고、합전을 총지휘했다。
伊賀の豪族。服部・藤林と並ぶ伊賀上忍家の一つ。忍術を駆使して織田信雄の伊賀侵攻軍を撃退するが、のちに織田信長の大軍の攻撃を受け、戦死したという。	→	이하 호족. 복부, 등림과 나란한 이하 상인가 중 하나. 인술을 구사하여 직전신웅의 이하 침공군을 격퇴했으나, 이후 직전신장의 대군의 공격을 받아 전사했다고 한다.
伊賀忍者衆を率いて家康に仕えた「鬼の半蔵」。家康最大の危機「伊賀越え」の際にも大活躍し、その数々の功は江戸城の一角に「半蔵門」の名を残した。	→	이하의 닌자들을 이끌고 가강을 섬긴 「귀신 반장」. 가강 최대의 위기 「이하 탈출」 때도 크게 활약하여, 그 수많은 공은 강호성 한쪽에 「반장문」이라는 이름을 남겼다.
伊達家臣。「天文の大乱」では晴宗の参謀を務め、乱の終息後は家中で最大の勢力を誇った。輝宗の代に謀叛を起こすが敗れて逃亡、流浪の末、餓死した。	→	이달 가신. 「천문대란」에서는 청종의 참모를 맡았으며, 난이 종식된 후 가문 내에서 최대의 세력을 자랑했다. 휘종의 대에 모반을 일으켰으나 패하여 도망쳤고, 유랑 끝에 아사했다.
伊達家臣。中野宗時の失脚後、輝宗の信任を受けて宿老となる。政事を担当し、織田信長らとも書簡をやりとりした。輝宗の死後、その墓前で殉死した。	→	이달 가신. 중야종시의 실각 후 휘종의 신임을 받아 중신이 되었다. 정사를 담당했으며, 직전신장 등과도 서신을 주고받았다. 휘종 사후, 그 묘 앞에서 순사했다.
伊達家臣。中野宗時の次男。奥州守護代を務め、父とともに伊達家中の政務を取り仕切った。輝宗の代に謀叛を起こすが敗れて逃亡、相馬領に逃れた。	→	이달 가신. 중야종시의 차남. 오주 수호대를 맡아 아버지와 함께 이달 가중의 정무를 도맡았다. 휘종 대에 모반을 일으켰으나 패해 도망쳐 상마령으로 달아났다.
伊達家臣。慶長遣欧使節団の一員としてスペインとロ－マを訪問した。さしたる成果を得られぬまま帰国し、２年後、失意のうちにこの世を去った。	→	이달 가신. 경장견구사절단의 일원으로 스페인과 로마를 방문했다. 이렇다 할 성과를 얻지 못한 채 귀국하여 2년 후 실의 속에 세상을 떠났다.
伊達家臣。１４歳で政宗に近侍。知勇の才群を抜き、政宗不在時の留守居役を任された。しかし傲慢の振る舞いが多かったため改易され、流浪の末に病死した。	→	이달 가신. 14세에 정종을 가까이서 모셨다. 지용의 재능이 무리 중에서 뛰어나 정종이 부재할 때 유수거역을 맡았다. 그러나 오만한 행동이 잦아 개역되었고, 유랑 끝에 병사했다.
伊達家臣。１８歳で兵馬の権を与えられ各地で戦功を立てた剛勇の士。豊臣秀吉の朝鮮出兵に従軍中、病死した。「伊達騒動」の原田甲斐は宗時の孫である。	→	이달 가신. 18세에 병마의 권한을 부여받아 각지에서 전공을 세운 강용의 무사. 풍신수길의 조선 출병에 종군하던 중 병사했다. 「이달소동」의 원전갑비는 종시의 손자이다.
伊達家１５代当主。稙宗の嫡男。父と対立し「天文の大乱」を引き起こすが、終息後に家督を相続。父と同様、婚姻外交を駆使して伊達家の地位を不動にした。	→	이달가 １５대 당주。 직종의 적남。 아버지와 대립해 「천문의 대란」을 일으켰으나 종식 후 가독을 상속받았다。 아버지와 마찬가지로 혼인외교를 구사해 이달가의 지위를 확고히 했다。
伊達政宗の腹心。朝鮮出兵の際に、豊臣秀吉の愛妾・香の前を賜ったために政宗の怒りを買い、出奔する。のちに許されて帰参、国老として国政に携わった。	→	이달정종의 복심. 조선출병 때, 풍신수길의 애첩 고노마에를 하사받았기 때문에 정종의 노여움을 사서 출분했다. 훗날 용서받아 귀참하여, 국로로서 국정에 참여했다.
伊達晴宗の三男。留守顕宗の娘を娶り、留守家を継いだ。兄・輝宗や甥・政宗に従い、相馬家や最上家との戦いで活躍した。朝鮮出兵後、伊達姓を与えられた。	→	이달청종의 셋째 아들。유수현종의 딸을 아내로 맞아 유수 가문을 이었다。형 휘종과 조카 정종을 따라 상마 가문、최상 가문과의 전투에서 활약했다。조선 출병 후 이달 성을 하사받았다。
伊集院忠朗の子。父と共に島津貴久の薩摩統一に貢献、大隅加治木城攻めなどに活躍した。後に老中に任ぜられ、重臣・伊集院氏の地位を不動のものとした。	→	이집원충랑의 아들. 아버지와 함께 도진귀구의 살마 통일에 공헌하고, 대우 가치목성 공격 등에서 활약했다. 훗날 노중에 임명되어 중신 이집원씨의 지위를 확고히 했다.
伝授してもらいますか？	→	전수받으시겠습니까?
似たり茄子	→	닮은가자
但馬守護。叔父・誠豊の養子となって家督を継ぐ。弟・豊定を因幡に派遣し、但馬・因幡両国を支配した。のちに羽柴秀吉軍の攻撃を受け敗北、降伏した。	→	단마 수호다。숙부 성풍의 양자가 되어 가독을 이었다。아우 풍정을 인번에 파견해 단마、인번 양국을 지배했다。훗날 우시수길군의 공격을 받아 패배、항복했다。
佐々	→	좌좌
佐助と人気を二分する真田十勇士の１人である。忍者・霧隠鹿右衛門がモデルと思われる。大坂落城後、幸村父子と豊臣秀頼を脱出させたという奇説もある。	→	좌조와 인기를 양분하는 진전십용사의 한 명이다. 닌자 무은록우위문이 모델로 여겨진다. 대판 낙성 후 행촌 부자와 풍신수뢰를 탈출시켰다는 기설도 있다.
佐竹一門。北家・義信の次男。兄・義住の戦死により家督を継ぐ。若年の宗家・義昭に仕え、東家・義堅や南家・義里らと交代で佐竹家の家政を執行した。	→	좌죽 일문. 북가 의신의 차남. 형 의주가 전사하여 가독을 이었다. 젊은 종가 의소를 섬기며, 동가 의견 및 남가 의리 등과 교대로 좌죽가의 가정을 집행했다.
佐竹一門。北家・義斯の嫡男。義重の三男・貞隆の岩城家入嗣に随行、植田城に入り岩城家の家政を執行した。主家が出羽秋田に転封された際、これに従った。	→	좌죽 일문. 북가 의사의 적남. 의중의 삼남 정륭이 암성가에 입사할 때 수행하여 식전성에 들어가 암성가의 가정을 집행했다. 주가가 출우 추전으로 전봉되었을 때 이를 따랐다.
佐竹家一族。石田三成と交際があり、三成を通じて豊臣秀吉とも親しかった。関ヶ原合戦の時に佐竹家が西軍に属したのは、このつながりが一因とされる。	→	좌죽가 일족. 석전삼성과 교분이 있었으며, 삼성을 통해 풍신수길과도 친분이 있었다. 세키가하라 합전 때 좌죽가가 서군에 속한 것은 이 인연이 한 원인으로 여겨진다.
佐竹家臣。一時白河結城家に属すが、義昭・義重・義宣の三代に仕え、内政や外交など各方面で活躍。豊臣秀吉の朝鮮出兵の際は国元に残り、国政を代行した。	→	좌죽 가신. 한때 백하결성가에 속했으나, 의소·의중·의선 삼대를 섬기며 내정과 외교 등 각 방면에서 활약했다. 풍신수길의 조선 출병 당시에는 본국에 남아 국정을 대행했다.
佐竹家１７代当主。義篤の嫡男。南陸奥の白河結城家を降し、常陸の覇権を巡って小田家と争った。関東管領・上杉憲政が庇護を求めてきたが、拒否している。	→	좌죽가 １７대 당주。 의독의 적남。 남륙오의 백하결성가를 굴복시키고 상륙의 패권을 놓고 소전가와 다투었다。 관동관령 상삼헌정이 비호를 요청해 왔으나 거절했다。
佐竹家１８代当主。義昭の嫡男。父の遺志を継ぎ、常陸の統一に成功する。北条家と伊達家を敵に回し、陣頭で自ら采配を振るう姿は「鬼義重」と恐れられた。	→	좌죽가 １８대 당주。 의소의 적남。 아버지의 유지를 이어받아 상륙 통일에 성공했다。 북조가와 이달가를 적으로 돌리고 진두에서 스스로 지휘하는 모습은 「귀의중」이라 불리며 두려움의 대상이 되었다。
佐竹義重の次男。白河結城家の養子であったが、{G03}名盛隆の娘を娶り、{G03}名家２０代当主となる。摺上原で伊達政宗と戦うが敗れ、生まれ故郷の常陸に逃れた。	→	좌죽의중의 차남. 백하결성 가문의 양자였으나, {G03}명성륭의 딸을 아내로 맞아 {G03}명 가문 ２０대 당주가 되었다. 접상원에서 이달정종과 싸웠으나 패해 태어난 고향인 상륙으로 피신했다.
何を贈りますか？	→	무엇을 보내시겠습니까?
何人でプレイしますか	→	몇 명이서 플레이하시겠습니까？
何部隊にしますか？	→	몇 부대로 하시겠습니까？
余勢を駆って撃ていっ！！	→	여세를 몰아 쏘아라！！
使者を送りますか？	→	사자를 보내시겠습니까?
信忠の嫡男。本能寺の変後、羽柴秀吉に擁立されて３歳で織田家を継ぐが、実権は秀吉に奪われる。関ヶ原合戦で西軍に加担して敗北し、高野山で出家した。	→	신충의 적남. 본능사의 변 이후 우시수길에게 옹립되어 3세에 직전가를 이었으나, 실권은 수길에게 빼앗겼다. 관원 합전에서 서군에 가담하여 패배하고, 고야산에서 출가했다.
信濃守護。合戦には強いが傲岸不遜の性格のため、武田氏との決戦・塩尻峠の戦いで家臣に裏切られ、敗北。その後は各地を転々とし、会津の地で客死した。	→	신농 수호. 합전에는 강하나 오만불손한 성격 탓에 무전씨와의 결전인 염고고개 전투에서 가신에게 배신당해 패배했다. 이후 각지를 전전하다 회진 땅에서 객사했다.
信玄の長男。川中島合戦などで活躍。妻の実家・今川家攻略に反対し、謀叛を企むが失敗する。東光寺に幽閉され、２年後に死亡した。自害とも病死ともいう。	→	신현의 장남. 천중도 합전 등에서 활약했다. 아내의 친정인 금천가 공략에 반대하여 모반을 꾀했으나 실패했다. 동광사에 유폐되어 ２년 후 사망했다. 자결이라고도 하고 병사라고도 한다.
信秀の嫡男。今川義元を桶狭間で破る。以後、天下布武を標榜して敵対勢力を次々と滅ぼした。天下統一を目前にして、明智光秀の謀叛に遭い本能寺に散った。	→	신수의 적남. 금천의원을 통협간에서 격파했다. 이후 천하포무를 표방하며 적대 세력을 차례로 멸망시켰다. 천하통일을 목전에 두고 명지광수의 모반을 당해 본능사에서 산화했다.
信繁の子。川中島合戦で父が戦死するとその跡を継ぐ。父譲りの軍才をもって勝頼を補佐し、信濃小諸城主を務めた。織田信長の甲斐侵攻の際、謀殺された。	→	신번의 아들. 천중도 합전에서 아버지가 전사하자 그 뒤를 이었다. 아버지에게 물려받은 군재로 승뢰를 보좌하며 신농 소제성주를 지냈다. 직전신장의 갑비 침공 때 모살당했다.
信蕃の子。幼少のころは、武田・織田など人質として転々とする。父が死んだため家督を継ぎ、上野藤岡３万石を領す。	→	신번의 아들. 어릴 적에는 무전, 직전 등지에서 인질로 전전하였다. 아버지가 죽자 가독을 이어받아 상야 등강 3만 석을 영유했다.
信蕃の次男。徳川家臣。兄・康国が戦死したため家督を継ぎ、上野藤岡３万石を領す。囲碁で口論の末、同僚を殺害し出奔。のちに結城秀康の家臣となった。	→	신번의 차남. 덕천 가신. 형 강국이 전사하여 가독을 이어받아 상야 등강 3만 석을 영유했다. 바둑을 두다 말다툼 끝에 동료를 살해하고 출분했다. 훗날 결성수강의 가신이 되었다.
信長の三男。伊勢の豪族・神戸具盛の養子となり、家督を継ぐ。本能寺の変後、柴田勝家と結んで羽柴秀吉に対抗するが敗北、秀吉の命により自害させられた。	→	신장의 삼남이다。이세의 호족 신호구성의 양자가 되어 가독을 이었다。본능사의 변 후、시전승가와 손잡고 우시수길에 대항했으나 패배해 수길의 명으로 자결을 강요당했다。
信長の実弟。性情は兄に似ず、家中でも評判が良かった。林通勝・柴田勝家らに擁立され織田家の家督を兄と争うが、病を装った信長に誘い出され謀殺された。	→	신장의 친동생. 성정은 형과 달라 가중에서도 평판이 좋았다. 임통승·시전승가 등에게 옹립되어 직전가의 가독을 형과 다투었으나, 병을 가장한 신장에게 유인되어 모살당했다.
信長の弟。本名は長益。出家して茶の湯に傾倒し、利休七哲の１人となる。信長の死後は豊臣秀吉に仕えるが、大坂の陣で徳川方に内通し、大坂城を退去する。	→	신장의 동생. 본명은 장익. 출가하여 다도에 심취해 이휴칠철의 한 사람이 되었다. 신장 사후에는 풍신수길을 섬겼으나, 대판진에서 덕천 측에 내통하여 대판성을 물러났다.
信長の弟。越前攻めや石山本願寺攻めに参戦した。本能寺の変後は豊臣秀吉に仕え、秀吉の子・秀頼の補佐役を務めた。娘は秀吉の側室となり、寵愛された。	→	신장의 아우. 월전 공격과 석산본원사 공격에 참전했다. 본능사의 변 이후에는 풍신수길을 섬겼고, 수길의 아들 수뢰의 보좌역을 맡았다. 딸은 수길의 측실이 되어 총애를 받았다.
信長の次男。伊勢国司・北畠家の養子となり、家督を継ぐ。本能寺の変後は豊臣家に従属した。小田原征伐後、徳川家康の旧領への転封を拒否し、改易された。	→	신장의 차남이다。이세국사 북전가의 양자가 되어 가독을 이었다。본능사의 변 후에는 풍신가에 종속되었다。소전원정벌 후、덕천가강의 구령으로의 전봉을 거부하고、개역되었다。
信長を討て	→	신장을 쳐라
信長包囲網	→	신장 포위망
俸禄は足りておりますかな？	→	녹봉은 충분하온지요？
偏ﾌ	→	偏ﾌ
元春の三男。関ヶ原合戦で西軍の敗北を予想し、外交工作によって毛利宗家の存続を図る。しかし宗家は防長２国に減封され、家中から裏切り者と非難された。	→	원춘의 삼남. 관원합전에서 서군의 패배를 예상하고 외교공작으로 모리종가의 존속을 도모했다. 그러나 종가는 방장 ２국으로 감봉되었고, 가중으로부터 배신자라는 비난을 받았다.
元春の長男。父に劣らぬ武勇を誇り、豊臣秀吉の九州征伐に従軍した際も、常に勝利を収めたという。父の隠居後、家督を継ぐが、父の死後間もなく病死した。	→	원춘의 장남. 아버지 못지않은 무용을 자랑하여, 풍신수길의 구주정벌에 종군했을 때도 항상 승리를 거두었다고 한다. 아버지가 은거한 후 가독을 이었으나, 아버지가 죽은 지 얼마 지나지 않아 병사했다.
元親の四男。関ヶ原合戦で西軍に属して改易され、京で寺子屋を開く。のち大坂城に入り、藤堂高虎軍を壊滅させるなど活躍したが、大坂落城後、斬首された。	→	원친의 사남. 관원합전에서 서군에 속하여 개역되었고, 경에서 서당을 열었다. 훗날 대판성에 들어가 등당고호 군을 괴멸시키는 등 활약했으나, 대판 낙성 후 참수되었다.
元親の嫡男。織田信長の偏諱を賜る。文武にすぐれ、人望を集める。豊臣秀吉の九州征伐に従軍し、豊後戸次川合戦で戦死した。元親は非常に落胆したという。	→	원친의 적남. 직전신장의 편휘를 하사받았다. 문무에 뛰어났고 인망을 모았다. 풍신수길의 구주 정벌에 종군하여 풍후 호차천합전에서 전사했다. 원친은 크게 낙담했다고 한다.
光秀の甥。治右衛門。本能寺の変では二条御所の信忠を攻めるが、銃弾を浴びて負傷し、知恵院での療養中に山崎の合戦の敗北を知り自害した。五宿老の一人。	→	광수의 조카. 치우위문. 본능사의 변에서는 이조어소의 신충을 공격했으나 총탄을 맞아 부상당하고, 지혜원에서 요양하던 중 산기 합전의 패배를 알고 자해했다. 오숙로 중 한 명이다.
児玉就方の子。水軍を率いる。出雲では尼子水軍を、摂津木津川では織田水軍を破って、石山本願寺に兵糧を運ぶなど活躍。のち、淡路岩屋城の守備につく。	→	아옥취방의 아들. 수군을 이끌었다. 출운에서는 이자수군을, 섭진 목진천에서는 직전수군을 격파하여 석산본원사에 병량을 운반하는 등 활약했다. 이후 담로 암옥성의 수비를 맡았다.
入城しますか？	→	입성하시겠습니까？
全員出陣し	→	전원 출진하여
全員持っています	→	전원 보유하고 있습니다
